common_name,scientific_name,country,habitat
,Abuta obovata,Brazil,
,Abuta obovata,Colombia,
,Abuta obovata,France,
,Abuta obovata,Guyana,
,Abuta obovata,Peru,
,Abuta obovata,Suriname,
,Abuta panamensis,Belize,
,Abuta panamensis,Costa Rica,
,Abuta panamensis,Guatemala,
,Abuta panamensis,Honduras,
,Abuta panamensis,Mexico,
,Abuta panamensis,Nicaragua,
,Abuta panamensis,Panama,
,Abuta panurensis,Brazil,
,Abuta platiphylla,Brazil,
,Abuta racemosa,Bolivia,
,Abuta racemosa,Colombia,
,Abuta racemosa,Panama,
,Abuta rufescens,Bolivia,
,Abuta rufescens,Brazil,
,Abuta rufescens,Colombia,
,Abuta rufescens,France,
,Abuta rufescens,Guyana,
,Abuta rufescens,Peru,
,Abuta rufescens,Suriname,
,Abuta sandwithiana,Bolivia,
,Abuta sandwithiana,Brazil,
,Abuta sandwithiana,Peru,
,Abuta sandwithiana,Suriname,
,Abuta seemannii,Colombia,
,Abuta selloana,Brazil,
,Abuta solimoesensis,Brazil,
,Abuta solimoesensis,Colombia,
,Abuta solimoesensis,France,
,Abuta solimoesensis,Peru,
,Abuta solimoesensis,Suriname,
,Abuta soukupii,Peru,
,Abuta spicata,Colombia,
,Abuta steyermarkii,Belize,
,Abuta steyermarkii,Costa Rica,
,Abuta steyermarkii,Guatemala,
,Abuta steyermarkii,Honduras,
,Abuta steyermarkii,Mexico,
,Abuta steyermarkii,Nicaragua,
,Abuta vaupesensis,Colombia,
,Abuta velutina,Brazil,
,Abuta velutina,Peru,
,Abutilon cryptopetalum,Australia,
hiddenpetal Indian mallow,Abutilon eremitopetalum,United States,forest; shrubland
dwarf lantern-flower,Abutilon fraseri,Australia,
Texas Indian mallow,Abutilon fruticosum,Mexico,
Texas Indian mallow,Abutilon fruticosum,United States,
,Abutilon halophilum,Australia,
mauve,Abutilon hulseanum,Cuba,
mauve,Abutilon hulseanum,Honduras,
mauve,Abutilon hulseanum,Jamaica,
mauve,Abutilon hulseanum,Mexico,
mauve,Abutilon hulseanum,United States,
pelotazo,Abutilon incanum,Mexico,desert; forest; shrubland
pelotazo,Abutilon incanum,United States,desert; forest; shrubland
monkeybush,Abutilon indicum,India,
monkeybush,Abutilon indicum,Pakistan,
monkeybush,Abutilon indicum,Syria,
,Abutilon julianae,Australia,
,Abutilon lepidum,Australia,
desert Chinese lantern,Abutilon leucopetalum,Australia,desert
,Abutilon listeri,Australia,
trailing abutilon,Abutilon megapotamicum,Brazil,
ko'oloa 'ula,Abutilon menziesii,United States,
,Abutilon otocarpum,Australia,desert
Palmer's Indian mallow,Abutilon palmeri,Mexico,desert
Palmer's Indian mallow,Abutilon palmeri,United States,desert
Ragged mallow,Abutilon pannosum,Cape Verde,
Ragged mallow,Abutilon pannosum,Saudi Arabia,
Parish's Indian mallow,Abutilon parishii,Mexico,desert; mountains
Parish's Indian mallow,Abutilon parishii,United States,desert; mountains
,Callianthe picta,Argentina,
,Callianthe picta,Brazil,
,Callianthe picta,Paraguay,
,Callianthe picta,Uruguay,
Yellow fatu,Abutilon pitcairnense,Pitcairn Islands,
,Abutilon sachetianum,French Polynesia,
greenflower Indian mallow,Abutilon sandwicense,United States,forest
velvetleaf,Abutilon theophrasti,China,
velvetleaf,Abutilon theophrasti,Mongolia,
,Acacia abbatiana,Australia,
,Acacia abbreviata,Australia,desert
,Acacia abrupta,Australia,desert
,Acacia acanthoclada,Australia,
gold-dust acacia,Acacia acinacea,Australia,
,Acacia acradenia,Australia,
,Acacia acrionastes,Australia,
,Acacia aculeatissima,Australia,
,Acacia acuminata subsp. acuminata,Australia,
,Acacia adoxa,Australia,
